geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
afg,Afghanistan,14.075,14.013,13.93,13.806,13.656,13.484,13.307,13.127,12.96,12.82,12.728,12.691,12.7,12.741,12.83,12.958,13.168,13.402,13.694,13.983,14.265,14.534,15.361,16.239,16.893,17.569,18.262,16.879,15.458,13.709,12.181,3.779,3.785,3.795,3.803,3.78
ago,Angola,61.311,61.185,60.818,60.803,61.136,61.723,61.812,61.658,61.488,61.43,61.433,61.625,61.633,61.745,61.769,61.903,61.949,61.886,61.712,61.553,60.793,60.953,60.998,61.053,60.974,60.897,60.857,60.855,60.908,60.647,62.907,62.395,62.481,62.475,62.476,62.507
alb,Albania,47.922,39.407,40.973,42.593,44.253,44.308,43.575,40.983,40.014,40.605,40.005,40.12,40.034,39.858,39.489,39.153,38.524,39.262,38.745,39.412,45.334,43.305,37.917,37.138,39.049,42.659,43.507,45.296,46.94,44.72,45.828,47.649,47.687,47.879,48.076,48.268
are,UAE,29.329,29.712,30.249,30.37,30.51,31.08,31.524,31.976,32.473,33.014,33.278,33.565,33.851,34.209,34.548,35.732,36.917,38.146,39.149,40.276,41.466,42.672,43.853,44.976,46.155,47.287,47.41,48.359,51.352,54.854,47.214,49.121,51.177,51.698,52.262,52.754
arg,Argentina,42.062,42.99,41.572,41.895,37.721,39.964,41.78,44.129,43.081,42.284,41.193,38.862,40.308,42.058,42.423,43.556,43.772,43.379,43.973,43.292,43.861,43.807,43.588,43.437,43.363,43.193,43.145,43.955,44.641,40.724,45.309,47.884,49.36,48.47,48.651,48.863
arm,Armenia,57.435,57.182,53.884,52.726,51.365,48.389,46.76,48.351,47.342,47.622,47.791,47.871,47.939,48.019,48.149,48.366,48.712,43.924,43.892,43.48,44.305,45.232,45.252,44.971,45.153,46.173,46.238,44.678,46.732,47.893,49.408,49.65,49.664,49.213,48.574,47.925
aus,Australia,47.269,46.83,46.591,47.735,49.322,49.421,49.325,49.78,50.148,51.303,51.6,51.938,52.661,52.682,54.067,54.745,55.349,55.917,55.611,55.519,55.803,55.698,55.443,55.079,55.559,55.948,56.483,57.303,57.846,56.383,58.202,60.026,60.146,59.862,59.592,59.454
aut,Austria,42.1,43.352,43.593,46.204,46.331,45.753,45.711,46.098,46.667,46.742,46.845,47.856,48.053,46.96,47.868,48.63,49.584,50.518,50.794,51.138,51.439,51.818,51.797,51.79,51.881,52.252,52.531,52.804,53.058,52.455,51.806,53.016,53.007,52.678,52.379,52.18
aze,Azerbaijan,65.877,66.828,66.854,67.532,68.228,67.632,66.63,65.431,64.435,63.048,62.205,61.691,60.451,59.059,58.391,57.28,53.295,53.295,54.292,55.719,55.64,55.655,55.863,56.753,57.538,58.404,58.548,59.036,58.844,58.982,55.527,57.471,56.992,56.447,55.845,55.247
bdi,Burundi,87.84,87.35,86.722,86.043,85.471,84.718,83.856,82.972,82.221,81.405,80.546,79.64,78.698,77.651,76.525,75.241,76.321,77.327,77.871,78.358,78.718,79.03,79.31,79.532,79.931,80.202,80.329,80.345,80.187,77.791,79.632,79.701,79.484,79.223,78.992,78.796
bel,Belgium,33.873,35.073,35.189,35.062,35.488,35.496,36.246,36.68,38.74,40.006,38.895,39.192,39.452,40.643,41.344,41.552,42.655,43.363,43.172,43.706,43.721,43.661,43.899,44.304,44.313,44.196,44.591,46.057,46.672,46.056,46.486,47.4,47.315,47.261,47.195,47.12
ben,Benin,56.742,56.752,57.464,58.204,58.995,59.781,60.604,61.429,62.292,63.178,64.098,65.04,65.438,65.841,66.236,66.651,67.075,67.517,67.924,68.307,67.589,68.363,69.181,69.941,70.57,71.184,71.856,72.614,73.33,72.599,73.585,73.163,73.099,73.149,73.201,73.237
bfa,Burkina Faso,77.302,76.294,75.335,74.176,73.125,72.067,70.939,69.727,68.386,66.998,65.627,64.192,62.855,60.94,59.125,57.922,57.743,57.265,56.8,56.483,56.126,55.833,55.462,55.12,53.088,51.109,49.165,47.241,45.266,42.759,41.074,38.957,38.912,38.737,38.553,38.328
